T_error,R_error_deg,esa_score
0.02,0.2,0.01
0.02,0.21,0.01
0.04,0.16,0.01
0.03,0.17,0.01
0.02,0.25,0.01
0.02,0.4,0.01
0.03,0.09,0.01
0.04,0.16,0.01
0.04,0.13,0.01
0.04,0.13,0.01
0.03,0.27,0.01
0.04,0.13,0.01
0.04,0.16,0.01
0.03,0.31,0.01
0.03,0.27,0.01
0.04,0.22,0.01
0.03,0.18,0.01
0.01,0.28,0.01
0.04,0.17,0.01
0.03,0.12,0.01
0.05,0.4,0.01
0.03,0.35,0.01
0.05,0.37,0.01
0.05,0.27,0.01
0.05,0.4,0.01
0.06,0.58,0.02
0.05,0.44,0.01
0.04,0.67,0.02
0.05,0.62,0.02
0.04,0.51,0.02
0.05,0.48,0.02
0.04,0.36,0.01
0.04,0.33,0.01
0.05,0.29,0.01
0.04,0.29,0.01
0.03,0.38,0.01
0.05,0.15,0.01
0.05,0.23,0.01
0.04,0.43,0.01
0.16,1.45,0.05
0.31,1.72,0.07
0.05,0.48,0.02
0.19,1.45,0.05
0.07,0.68,0.02
0.06,0.71,0.02
0.06,0.54,0.02
0.07,0.5,0.02
0.06,0.85,0.02
0.06,0.58,0.02
0.05,0.54,0.02
0.06,0.17,0.01
0.06,0.42,0.02
0.03,0.56,0.01
0.06,0.47,0.02
0.07,0.27,0.01
0.08,0.37,0.02
0.07,0.39,0.02
0.07,0.21,0.01
0.07,0.26,0.01
0.07,0.58,0.02
0.05,0.18,0.01
0.07,0.64,0.02
0.05,0.07,0.01
0.06,0.44,0.02
0.04,0.16,0.01
0.06,0.33,0.01
0.05,0.17,0.01
0.04,0.12,0.01
0.04,0.11,0.01
0.07,0.2,0.01
0.08,0.56,0.02
0.06,0.86,0.02
0.15,1.8,0.05
0.28,3.06,0.09
0.06,0.94,0.02
0.1,1.12,0.03
0.07,0.82,0.02
0.08,0.83,0.02
0.08,0.99,0.03
0.07,0.84,0.02
0.02,0.59,0.01
0.01,0.44,0.01
0.02,0.86,0.02
0.04,1.13,0.03
0.07,0.87,0.02
0.1,1.24,0.03
0.01,0.93,0.02
0.06,0.77,0.02
0.06,1.2,0.03
0.02,0.63,0.01
0.05,0.82,0.02
0.07,1.36,0.03
0.05,0.94,0.02
0.07,1.21,0.03
0.1,1.85,0.04
0.1,1.48,0.04
0.07,1.03,0.03
0.08,1.03,0.03
0.07,1.06,0.03
0.08,1.04,0.03
